folder,file,path,total_px_aoi,bands_used,valid_allbands_px,valid_allbands_pct,null_anyband_px,null_anyband_pct,geom_match_ref,band_mapping,band_confidence,VV_valid_px,VV_valid_pct,VV_null_px,VV_null_pct,VH_valid_px,VH_valid_pct,VH_null_px,VH_null_pct,angle_valid_px,angle_valid_pct,angle_null_px,angle_null_pct,VVVH_ratio_valid_px,VVVH_ratio_valid_pct,VVVH_ratio_null_px,VVVH_ratio_null_pct
S1_2019_02,S1_2019_5.tif,D:\Maestria_Geomatica\Semestre_IV\Tesis_Python\Datos\TIFF\S1\S1_2019_02\S1_2019_5.tif,4836008,"VV,VH,angle,VVVH_ratio",52,0.0010752670384333524,4835956,99.99892473296157,False,"{""angle"": 3, ""VV_Difference"": 2, ""VVVH_ratio"": 4, ""VV"": 5, ""VH"": 1}","{""angle"": 0.85, ""VV_Difference"": 0.8, ""VVVH_ratio"": 0.75, ""VV"": 0.7, ""VH"": 0.7}",52,0.0010752670384333524,4835956,99.99892473296157,1086684,22.47068243063287,3749324,77.52931756936714,1567841,32.42014901546896,3268167,67.57985098453105,1086684,22.47068243063287,3749324,77.52931756936714
S1_2019_02,S1_2019_8.tif,D:\Maestria_Geomatica\Semestre_IV\Tesis_Python\Datos\TIFF\S1\S1_2019_02\S1_2019_8.tif,4837824,"VV,VH,angle,VVVH_ratio",209395,4.328288916669974,4628429,95.67171108333002,False,"{""angle"": 3, ""VV_Difference"": 2, ""VVVH_ratio"": 4, ""VV"": 5, ""VH"": 1}","{""angle"": 0.85, ""VV_Difference"": 0.8, ""VVVH_ratio"": 0.75, ""VV"": 0.7, ""VH"": 0.7}",209395,4.328288916669974,4628429,95.67171108333002,209395,4.328288916669974,4628429,95.67171108333002,1022248,21.130326361603895,3815576,78.86967363839611,209395,4.328288916669974,4628429,95.67171108333002
S1_2019_02,S1_2019_9.tif,D:\Maestria_Geomatica\Semestre_IV\Tesis_Python\Datos\TIFF\S1\S1_2019_02\S1_2019_9.tif,4837824,"VV,VH,angle,VVVH_ratio",271,0.005601692000370415,4837553,99.99439830799963,False,"{""angle"": 3, ""VV_Difference"": 2, ""VVVH_ratio"": 4, ""VV"": 5, ""VH"": 1}","{""angle"": 0.85, ""VV_Difference"": 0.8, ""VVVH_ratio"": 0.75, ""VV"": 0.7, ""VH"": 0.7}",271,0.005601692000370415,4837553,99.99439830799963,1084409,22.415222215607677,3753415,77.58477778439232,1565685,32.363413799261814,3272139,67.63658620073818,1084409,22.415222215607677,3753415,77.58477778439232
S1_2019_03,S1_2019_12.tif,D:\Maestria_Geomatica\Semestre_IV\Tesis_Python\Datos\TIFF\S1\S1_2019_03\S1_2019_12.tif,4836008,"VV,VH,angle,VVVH_ratio",209567,4.333470912372354,4626441,95.66652908762765,True,"{""angle"": 3, ""VV_Difference"": 2, ""VVVH_ratio"": 4, ""VV"": 5, ""VH"": 1}","{""angle"": 0.85, ""VV_Difference"": 0.8, ""VVVH_ratio"": 0.75, ""VV"": 0.7, ""VH"": 0.7}",209567,4.333470912372354,4626441,95.66652908762765,209567,4.333470912372354,4626441,95.66652908762765,1023999,21.17446869401374,3812009,78.82553130598626,209567,4.333470912372354,4626441,95.66652908762765
S1_2019_03,S1_2019_13.tif,D:\Maestria_Geomatica\Semestre_IV\Tesis_Python\Datos\TIFF\S1\S1_2019_03\S1_2019_13.tif,4836008,"VV,VH,angle,VVVH_ratio",541,0.011186912842162378,4835467,99.98881308715784,False,"{""angle"": 3, ""VV_Difference"": 2, ""VVVH_ratio"": 4, ""VV"": 5, ""VH"": 1}","{""angle"": 0.85, ""VV_Difference"": 0.8, ""VVVH_ratio"": 0.75, ""VV"": 0.7, ""VH"": 0.7}",541,0.011186912842162378,4835467,99.98881308715784,1086960,22.47638961722148,3749048,77.52361038277853,1568443,32.43259729926005,3267565,67.56740270073995,1086960,22.47638961722148,3749048,77.52361038277853
S1_2019_03,S1_2019_16.tif,D:\Maestria_Geomatica\Semestre_IV\Tesis_Python\Datos\TIFF\S1\S1_2019_03\S1_2019_16.tif,4836008,"VV,VH,angle,VVVH_ratio",209322,4.32840475036435,4626686,95.67159524963564,False,"{""angle"": 3, ""VV_Difference"": 2, ""VVVH_ratio"": 4, ""VV"": 5, ""VH"": 1}","{""angle"": 0.85, ""VV_Difference"": 0.8, ""VVVH_ratio"": 0.75, ""VV"": 0.7, ""VH"": 0.7}",209322,4.32840475036435,4626686,95.67159524963564,209594,4.334029224103848,4626414,95.66597077589616,1028609,21.269795252613314,3807399,78.7302047473867,209594,4.334029224103848,4626414,95.66597077589616
S1_2019_03,S1_2019_17.tif,D:\Maestria_Geomatica\Semestre_IV\Tesis_Python\Datos\TIFF\S1\S1_2019_03\S1_2019_17.tif,4836008,"VV,VH,angle,VVVH_ratio",1654,0.03420176310709164,4834354,99.96579823689291,False,"{""angle"": 3, ""VV_Difference"": 2, ""VVVH_ratio"": 4, ""VV"": 5, ""VH"": 1}","{""angle"": 0.85, ""VV_Difference"": 0.8, ""VVVH_ratio"": 0.75, ""VV"": 0.7, ""VH"": 0.7}",1654,0.03420176310709164,4834354,99.96579823689291,1091160,22.563238108787246,3744848,77.43676189121275,1573321,32.53346561875001,3262687,67.46653438124999,1091160,22.563238108787246,3744848,77.43676189121275
S1_2019_03,S1_2019_20.tif,D:\Maestria_Geomatica\Semestre_IV\Tesis_Python\Datos\TIFF\S1\S1_2019_03\S1_2019_20.tif,4836008,"VV,VH,angle,VVVH_ratio",209192,4.325716582768266,4626816,95.67428341723173,False,"{""angle"": 3, ""VV_Difference"": 2, ""VVVH_ratio"": 4, ""VV"": 5, ""VH"": 1}","{""angle"": 0.85, ""VV_Difference"": 0.8, ""VVVH_ratio"": 0.75, ""VV"": 0.7, ""VH"": 0.7}",209192,4.325716582768266,4626816,95.67428341723173,209192,4.325716582768266,4626816,95.67428341723173,1025665,21.208918595668163,3810343,78.79108140433183,209192,4.325716582768266,4626816,95.67428341723173
S1_2019_03,S1_2019_21.tif,D:\Maestria_Geomatica\Semestre_IV\Tesis_Python\Datos\TIFF\S1\S1_2019_03\S1_2019_21.tif,4836008,"VV,VH,angle,VVVH_ratio",1338,0.02766744802738126,4834670,99.97233255197261,False,"{""angle"": 3, ""VV_Difference"": 2, ""VVVH_ratio"": 4, ""VV"": 5, ""VH"": 1}","{""angle"": 0.85, ""VV_Difference"": 0.8, ""VVVH_ratio"": 0.75, ""VV"": 0.7, ""VH"": 0.7}",1338,0.02766744802738126,4834670,99.97233255197261,1087975,22.497378002683206,3748033,77.5026219973168,1570413,32.473333377446856,3265595,67.52666662255315,1087975,22.497378002683206,3748033,77.5026219973168
S1_2019_04,S1_2019_24.tif,D:\Maestria_Geomatica\Semestre_IV\Tesis_Python\Datos\TIFF\S1\S1_2019_04\S1_2019_24.tif,4837824,"VV,VH,angle,VVVH_ratio",209304,4.32640790570306,4628520,95.67359209429694,True,"{""angle"": 3, ""VV_Difference"": 2, ""VVVH_ratio"": 4, ""VV"": 1, ""VH"": 5}","{""angle"": 0.85, ""VV_Difference"": 0.8, ""VVVH_ratio"": 0.75, ""VV"": 0.7, ""VH"": 0.7}",209304,4.32640790570306,4628520,95.67359209429694,209304,4.32640790570306,4628520,95.67359209429694,1023977,21.166065569975263,3813847,78.83393443002474,209304,4.32640790570306,4628520,95.67359209429694
