idx_firms;latitude;longitude;brightness;scan;track;acq_date;acq_time;satellite;instrument;confidence;version;bright_t31;frp;daynight;type;acq_date_n;anio;mes;dia;index_righ;MpNombre;Depto;mpnombre_s;depto_std;join_ok;fecha_FIRM;mpnombre_1;fecha_UNGR;dif_dias_m;dif_dias_a;tipo_coinc;fire_date;orb_same;img_same;idx_same;slice_same;orb_post30;img_post30;idx_post30;slice_post;orb_pre30;img_pre30;idx_pre30;slice_pre3;dt_post_da;dt_pre_day;label;id;point_id;SR_B5_norm;SR_B6_norm;SR_B7_norm;NDVI_norm;EVI_norm;NBR_norm;NDWI_norm;VV;VH;angle;VVVH_ratio;VV_Difference;VH_Difference;VHVV_Difference;l8_found;l8_file;l8_year;l8_bimonth_start_month;l8_bimonth_label;l8_selection_rule;s1_found;s1_file;s1_date;s1_scene_index
1307;5.47348;-73.55193;304.46;0.41;0.37;30/12/2018;629;N20;VIIRS;n;2;278.59;1.01;N;2;30/12/2018;2018;12;30;539;Samacá;Boyacá;SAMACA;BOYACA;1;30/12/2018;SAMACA;3/01/2019;-4;4;ventana_5dias;30/12/2018;<NA>;<NA>;<NA>;<NA>;150;28/01/2019 0:00;3;25;150;29/11/2018 0:00;52;25;29;-31;1;;238;-0.95059073;-0.767847657;-0.337726563;-0.199464828;-0.752208531;0.119154029;1.225706697;1.141210556;1.042419314;4.776386738;1.049719691;0.338274509;0.350646377;0.587777376;True;L8_2019_ene_feb_normalizado.tif;2019;1;ene_feb;next_bimonth;True;S1_2019-01-04_0_prepost_indices_normalizado.tif;4/01/2019;0
1308;5.4729;-73.54824;303.17;0.41;0.37;30/12/2018;629;N20;VIIRS;n;2;277.28;1.01;N;2;30/12/2018;2018;12;30;539;Samacá;Boyacá;SAMACA;BOYACA;1;30/12/2018;SAMACA;3/01/2019;-4;4;ventana_5dias;30/12/2018;<NA>;<NA>;<NA>;<NA>;150;28/01/2019 0:00;3;25;150;29/11/2018 0:00;52;25;29;-31;1;;239;-0.984962404;-0.891805112;-0.536655784;0.164004564;-0.766487837;0.398161441;0.563547254;0.071415521;0.024240678;4.783490181;0.434111744;0.778498769;0.262051404;0.028868109;True;L8_2019_ene_feb_normalizado.tif;2019;1;ene_feb;next_bimonth;True;S1_2019-01-04_0_prepost_indices_normalizado.tif;4/01/2019;0
1309;5.46954;-73.5489;308.62;0.41;0.37;30/12/2018;629;N20;VIIRS;n;2;277.76;1.01;N;2;30/12/2018;2018;12;30;539;Samacá;Boyacá;SAMACA;BOYACA;1;30/12/2018;SAMACA;3/01/2019;-4;4;ventana_5dias;30/12/2018;<NA>;<NA>;<NA>;<NA>;150;28/01/2019 0:00;3;25;150;29/11/2018 0:00;52;25;29;-31;1;;240;-0.861043572;0.356645435;2.678336382;-1.146535516;-0.956304073;-1.237474918;2.058796644;-0.320927083;-0.380630165;4.781089306;0.28918618;-0.901931882;-0.675600469;0.74406153;True;L8_2019_ene_feb_normalizado.tif;2019;1;ene_feb;next_bimonth;True;S1_2019-01-04_0_prepost_indices_normalizado.tif;4/01/2019;0
1310;5.48078;-73.52462;298.94;0.46;0.39;31/12/2018;610;N20;VIIRS;n;2;279.65;0.83;N;2;31/12/2018;2018;12;31;539;Samacá;Boyacá;SAMACA;BOYACA;1;31/12/2018;SAMACA;3/01/2019;-3;3;ventana_5dias;31/12/2018;<NA>;<NA>;<NA>;<NA>;150;28/01/2019 0:00;3;25;150;29/11/2018 0:00;52;25;28;-32;1;;241;-0.388320386;-0.598286092;-0.372322947;0.54326272;-0.143996984;0.863606989;0.498710781;0.331443131;0.603679597;4.90465498;-0.269384146;-0.012150672;-0.301905364;0.228873149;True;L8_2019_ene_feb_normalizado.tif;2019;1;ene_feb;next_bimonth;True;S1_2019-01-04_0_prepost_indices_normalizado.tif;4/01/2019;0
1311;5.47419;-73.55318;301.69;0.46;0.39;31/12/2018;610;N20;VIIRS;n;2;278.51;0.95;N;2;31/12/2018;2018;12;31;539;Samacá;Boyacá;SAMACA;BOYACA;1;31/12/2018;SAMACA;3/01/2019;-3;3;ventana_5dias;31/12/2018;<NA>;<NA>;<NA>;<NA>;150;28/01/2019 0:00;3;25;150;29/11/2018 0:00;52;25;28;-32;1;;242;-1.009610415;-0.923942268;-0.523064315;0.019148272;-0.695512414;0.201183721;1.052698016;1.26486063;1.42343092;4.773891926;0.444124162;1.130058289;0.538130462;-0.031918764;True;L8_2019_ene_feb_normalizado.tif;2019;1;ene_feb;next_bimonth;True;S1_2019-01-04_0_prepost_indices_normalizado.tif;4/01/2019;0
1312;5.46998;-73.54951;298.68;0.46;0.39;31/12/2018;610;N20;VIIRS;n;2;276.64;0.59;N;2;31/12/2018;2018;12;31;539;Samacá;Boyacá;SAMACA;BOYACA;1;31/12/2018;SAMACA;3/01/2019;-3;3;ventana_5dias;31/12/2018;<NA>;<NA>;<NA>;<NA>;150;28/01/2019 0:00;3;25;150;29/11/2018 0:00;52;25;28;-32;1;;243;-0.989258766;0.867472768;5.522241116;-1.748022795;-1.245283961;-2.03957963;3.1211133;-0.331239015;-0.430452734;4.779507637;0.386073351;-0.678323984;-0.401154369;0.815282404;True;L8_2019_ene_feb_normalizado.tif;2019;1;ene_feb;next_bimonth;True;S1_2019-01-04_0_prepost_indices_normalizado.tif;4/01/2019;0
1363;5.46027;-73.56327;298.31;0.49;0.49;29/12/2018;648;N20;VIIRS;n;2;279.2;1.52;N;0;29/12/2018;2018;12;29;539;Samacá;Boyacá;SAMACA;BOYACA;1;29/12/2018;SAMACA;3/01/2019;-5;5;ventana_5dias;29/12/2018;<NA>;<NA>;<NA>;<NA>;150;28/01/2019 0:00;3;25;150;29/11/2018 0:00;52;25;30;-30;1;;247;-0.99954772;-0.778406978;-0.254118651;-0.641269743;-0.955870986;0.054755237;1.706362247;1.179561257;1.188537717;4.746951103;0.790071726;-0.127738327;0.026380805;0.714703143;True;L8_2019_ene_feb_normalizado.tif;2019;1;ene_feb;next_bimonth;True;S1_2019-01-04_0_prepost_indices_normalizado.tif;4/01/2019;0
1366;5.464;-73.55846;314.84;0.49;0.49;29/12/2018;648;N20;VIIRS;n;2;279.07;1.52;N;0;29/12/2018;2018;12;29;539;Samacá;Boyacá;SAMACA;BOYACA;1;29/12/2018;SAMACA;3/01/2019;-5;5;ventana_5dias;29/12/2018;<NA>;<NA>;<NA>;<NA>;150;28/01/2019 0:00;3;25;150;29/11/2018 0:00;52;25;30;-30;1;;248;-0.797275126;-0.746422887;-0.444810629;0.689918339;-0.454402536;0.474916041;0.226005435;0.580046594;0.627596796;4.758584023;0.420288026;0.549152851;-0.043306734;-0.07071346;True;L8_2019_ene_feb_normalizado.tif;2019;1;ene_feb;next_bimonth;True;S1_2019-01-04_0_prepost_indices_normalizado.tif;4/01/2019;0
1374;5.45272;-73.5738;308.3;0.41;0.37;30/12/2018;629;N20;VIIRS;n;2;279.03;0.95;N;2;30/12/2018;2018;12;30;539;Samacá;Boyacá;SAMACA;BOYACA;1;30/12/2018;SAMACA;3/01/2019;-4;4;ventana_5dias;30/12/2018;<NA>;<NA>;<NA>;<NA>;150;28/01/2019 0:00;3;25;150;29/11/2018 0:00;52;25;29;-31;1;;249;-0.716773152;-0.329558551;0.053130109;-0.5923962;-0.707297862;-0.159646854;1.819859028;0.780890763;0.983615816;4.721971035;0.112160712;1.351487517;-0.041555133;-0.907914281;True;L8_2019_ene_feb_normalizado.tif;2019;1;ene_feb;next_bimonth;True;S1_2019-01-04_0_prepost_indices_normalizado.tif;4/01/2019;0
1381;5.44702;-73.59105;296.25;0.46;0.39;31/12/2018;610;N20;VIIRS;n;2;277.91;0.7;N;0;31/12/2018;2018;12;31;539;Samacá;Boyacá;SAMACA;BOYACA;1;31/12/2018;SAMACA;3/01/2019;-3;3;ventana_5dias;31/12/2018;<NA>;<NA>;<NA>;<NA>;150;28/01/2019 0:00;3;25;150;29/11/2018 0:00;52;25;28;-32;1;;250;-0.693707883;-0.616344035;-0.314250499;0.461128831;-0.449836105;0.509903669;0.527101636;0.312477291;0.594824135;4.683523178;-0.303930223;1.247403264;-0.014244294;-0.76869458;True;L8_2019_ene_feb_normalizado.tif;2019;1;ene_feb;next_bimonth;True;S1_2019-01-04_0_prepost_indices_normalizado.tif;4/01/2019;0
