idx_firms,latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type,acq_date_n,anio,mes,dia,index_righ,MpNombre,Depto,mpnombre_s,depto_std,join_ok,fecha_FIRM,mpnombre_1,fecha_UNGR,dif_dias_m,dif_dias_a,tipo_coinc,fire_date,orb_same,img_same,idx_same,slice_same,orb_post30,img_post30,idx_post30,slice_post,orb_pre30,img_pre30,idx_pre30,slice_pre3,dt_post_da,dt_pre_day,label,id,point_id,RED,NIR,SWIR_1,SWIR_2,NDVI,EVI,NBR,IMG_COUNT,VV,VH,angle,l8_found,l8_file,l8_year,l8_month,s1_found,s1_file,s1_date
6179.0,5.56613,-73.31239,337.7,0.46,0.63,2024-03-23,1855,N20,VIIRS,n,2,286.81,5.32,D,0.0,2024-03-23,2024.0,3.0,23.0,548.0,Tunja,Boyacá,TUNJA,BOYACA,1.0,2024-03-23,TUNJA,2024-03-23,0.0,0.0,exacta,2024-03-23,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,1,,872,0.053020624443888664,0.12587500363588333,0.13427624851465225,0.10620562359690666,0.3927915543317795,0.141348697245121,-0.016429626382887363,4.0,-8.644721508026123,-14.83647346496582,45.52752685546875,True,L8_2024_04.tif,2024,4,False,,
6210.0,5.41937,-73.36331,338.5,0.48,0.64,2024-03-13,1732,N21,VIIRS,n,2.0NRT,275.87,7.08,D,,2024-03-13,2024.0,3.0,13.0,508.0,Jenesano,Boyacá,JENESANO,BOYACA,1.0,2024-03-13,JENESANO,2024-03-13,0.0,0.0,exacta,2024-03-13,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,1,,877,0.053020624443888664,0.12587500363588333,0.13427624851465225,0.10620562359690666,0.3927915543317795,0.141348697245121,-0.016429626382887363,4.0,-8.644721508026123,-14.83647346496582,45.52752685546875,True,L8_2024_04.tif,2024,4,False,,
6263.0,5.46576,-73.55928,295.71,0.49,0.49,2024-03-16,0648,N20,VIIRS,n,2,279.22,1.19,N,2.0,2024-03-16,2024.0,3.0,16.0,539.0,Samacá,Boyacá,SAMACA,BOYACA,1.0,2024-03-16,SAMACA,2024-03-20,-4.0,4.0,ventana_5dias,2024-03-16,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,1,,886,0.053020624443888664,0.12587500363588333,0.13427624851465225,0.10620562359690666,0.3927915543317795,0.141348697245121,-0.016429626382887363,4.0,-8.644721508026123,-14.83647346496582,45.52752685546875,True,L8_2024_04.tif,2024,4,False,,
6270.0,5.46462,-73.55672,301.76,0.41,0.37,2024-03-17,0629,N20,VIIRS,n,2,278.92,1.0,N,2.0,2024-03-17,2024.0,3.0,17.0,539.0,Samacá,Boyacá,SAMACA,BOYACA,1.0,2024-03-17,SAMACA,2024-03-20,-3.0,3.0,ventana_5dias,2024-03-17,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,1,,889,0.052642498165369034,0.14548249542713165,0.12977999448776245,0.10335250198841095,0.4685930609703064,0.1891634464263916,0.057045552879571915,4.0,-8.644721508026123,-14.83647346496582,45.52752685546875,True,L8_2024_04.tif,2024,4,False,,
6271.0,5.46469,-73.55655,299.54,0.67,0.74,2024-03-20,0713,N20,VIIRS,n,2,278.66,3.72,N,2.0,2024-03-20,2024.0,3.0,20.0,539.0,Samacá,Boyacá,SAMACA,BOYACA,1.0,2024-03-20,SAMACA,2024-03-20,0.0,0.0,exacta,2024-03-20,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,1,,890,0.06235000118613243,0.12185999751091003,0.13013750314712524,0.11407750099897385,0.3230551779270172,0.12263679504394531,-0.0328475721180439,4.0,-8.644721508026123,-14.83647346496582,45.52752685546875,True,L8_2024_04.tif,2024,4,False,,
6274.0,5.4651,-73.55544,307.9,0.49,0.49,2024-03-16,0648,N20,VIIRS,n,2,280.76,2.54,N,2.0,2024-03-16,2024.0,3.0,16.0,539.0,Samacá,Boyacá,SAMACA,BOYACA,1.0,2024-03-16,SAMACA,2024-03-20,-4.0,4.0,ventana_5dias,2024-03-16,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,1,,891,0.06834500283002853,0.12257499992847443,0.12703000009059906,0.11509499698877335,0.28404566645622253,0.11638886481523514,-0.017848201096057892,4.0,-8.644721508026123,-14.83647346496582,45.52752685546875,True,L8_2024_04.tif,2024,4,False,,
6291.0,5.4474,-73.58902,301.65,0.41,0.37,2024-03-17,0629,N20,VIIRS,n,2,278.48,0.78,N,0.0,2024-03-17,2024.0,3.0,17.0,539.0,Samacá,Boyacá,SAMACA,BOYACA,1.0,2024-03-17,SAMACA,2024-03-20,-3.0,3.0,ventana_5dias,2024-03-17,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,1,,893,0.053020624443888664,0.12587500363588333,0.13427624851465225,0.10620562359690666,0.3927915543317795,0.141348697245121,-0.016429626382887363,4.0,-8.644721508026123,-14.83647346496582,45.52752685546875,True,L8_2024_04.tif,2024,4,False,,
6356.0,5.4552,-73.57287,301.29,0.41,0.37,2024-03-17,0629,N20,VIIRS,n,2,278.1,0.74,N,0.0,2024-03-17,2024.0,3.0,17.0,539.0,Samacá,Boyacá,SAMACA,BOYACA,1.0,2024-03-17,SAMACA,2024-03-20,-3.0,3.0,ventana_5dias,2024-03-17,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,1,,900,0.053020624443888664,0.12587500363588333,0.13427624851465225,0.10620562359690666,0.3927915543317795,0.141348697245121,-0.016429626382887363,4.0,-8.644721508026123,-14.83647346496582,45.52752685546875,True,L8_2024_04.tif,2024,4,False,,
6366.0,5.45577,-73.5764,295.22,0.41,0.37,2024-03-17,0629,N20,VIIRS,n,2,278.3,0.43,N,0.0,2024-03-17,2024.0,3.0,17.0,539.0,Samacá,Boyacá,SAMACA,BOYACA,1.0,2024-03-17,SAMACA,2024-03-20,-3.0,3.0,ventana_5dias,2024-03-17,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,1,,902,0.053020624443888664,0.12587500363588333,0.13427624851465225,0.10620562359690666,0.3927915543317795,0.141348697245121,-0.016429626382887363,4.0,-8.644721508026123,-14.83647346496582,45.52752685546875,True,L8_2024_04.tif,2024,4,False,,
6382.0,5.46798,-73.55612,309.65,0.41,0.37,2024-03-17,0629,N20,VIIRS,n,2,278.76,1.0,N,2.0,2024-03-17,2024.0,3.0,17.0,539.0,Samacá,Boyacá,SAMACA,BOYACA,1.0,2024-03-17,SAMACA,2024-03-20,-3.0,3.0,ventana_5dias,2024-03-17,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,1,,905,0.053020624443888664,0.12587500363588333,0.13427624851465225,0.10620562359690666,0.3927915543317795,0.141348697245121,-0.016429626382887363,4.0,-8.644721508026123,-14.83647346496582,45.52752685546875,True,L8_2024_04.tif,2024,4,False,,
