label,SR_B5,SR_B6,SR_B7,NDVI,EVI,NBR,NDWI
1,0.0938649997115135,0.117817498743534,0.132860004901886,0.2390568405389785,0.08701903373003,-0.1131529510021209,-0.3067090213298797
1,0.1307699978351593,0.1073400005698204,0.0902900025248527,0.4856140911579132,0.1752330064773559,0.0983998849987983,-0.5274088978767395
1,0.1256275027990341,0.1278000026941299,0.1324474960565567,0.2834848761558532,0.1102635860443115,-0.0085724703967571,-0.3556619882583618
1,0.134234994649887,0.139212504029274,0.1073675006628036,0.3681568503379822,0.1460547894239425,-0.0182027965784072,-0.4225836992263794
1,0.1153424978256225,0.0921325013041496,0.0666399970650672,0.5133610963821411,0.1701952219009399,0.1125358566641807,-0.5172727108001709
1,0.152233749628067,0.0941125005483627,0.0539899989962577,0.6702216267585754,0.252716064453125,0.2402834892272949,-0.6570782661437988
1,0.1868837475776672,0.1062262505292892,0.0597649998962879,0.6915370225906372,0.308928519487381,0.2829382121562958,-0.6728881001472473
1,0.3051062524318695,0.1821262538433075,0.1133762449026107,0.6389141082763672,0.4142014384269714,0.2516956329345703,-0.6163380742073059
1,0.2242700010538101,0.2424200028181076,0.1762275099754333,0.3182826042175293,0.1844059824943542,-0.0512255765497684,-0.3740772604942322
1,0.1218187510967254,0.0640962496399879,0.0363212525844574,0.7199658751487732,0.2197204530239105,0.3067117631435394,-0.6482239365577698
1,0.1633162498474121,0.1474625021219253,0.109154999256134,0.4023624658584595,0.1754030883312225,0.0549169555306434,-0.4072119295597076
1,0.1717724949121475,0.1754025071859359,0.1278550028800964,0.4314241111278534,0.1961552053689956,-0.0104558570310473,-0.4673285782337188
1,0.3098500072956085,0.1993274986743927,0.1148200035095214,0.6462337374687195,0.4452475607395172,0.2109860777854919,-0.6057628393173218
1,0.3350675106048584,0.2367275059223175,0.1494974941015243,0.6204057335853577,0.4410597085952759,0.2081252932548523,-0.5914105176925659
1,0.2084712535142898,0.1799674928188324,0.1126887500286102,0.5549641251564026,0.2642740607261657,0.0733618959784507,-0.5863490104675293
1,0.1235650032758712,0.1187250018119812,0.0882275030016899,0.4090915620326996,0.1471832692623138,0.0199760682880878,-0.4532998204231262
1,0.2346374988555908,0.1997949928045272,0.1344275027513504,0.3950450420379638,0.2400431931018829,0.0858735889196395,-0.4288287162780761
1,0.2346374988555908,0.1997949928045272,0.1344275027513504,0.3950450420379638,0.2400431931018829,0.0858735889196395,-0.4288287162780761
